# file...... eplus_load.csv
# date...... Mon Jul 11 18:36:51 2022
# user...... root
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 00:00:00 PDT,+75000.9983525,+15.0000584209,+417.437+234.258j
2013-07-01 00:01:00 PDT,+1,+15,+407.126+234.745j
2013-07-01 00:02:00 PDT,+1,+15,+407.134+234.751j
2013-07-01 00:03:00 PDT,+1,+15,+407.134+234.751j
2013-07-01 00:04:00 PDT,+1,+15,+407.134+234.751j
2013-07-01 00:05:00 PDT,+1,+15,+406.783+234.548j
2013-07-01 00:06:00 PDT,+53781.1379701,+15.0000116238,+407.276+230.103j
2013-07-01 00:07:00 PDT,+53781.1379706,+15,+407.291+230.112j
2013-07-01 00:08:00 PDT,+53781.1379706,+15,+407.291+230.112j
2013-07-01 00:09:00 PDT,+53781.1379706,+15,+407.291+230.112j
2013-07-01 00:10:00 PDT,+53781.1379706,+15,+407.122+230.016j
2013-07-01 00:11:00 PDT,+48785.4351568,+15,+407.083+230.433j
2013-07-01 00:12:00 PDT,+48785.4351568,+15,+407.083+230.433j
2013-07-01 00:13:00 PDT,+48785.4351568,+15,+407.083+230.433j
2013-07-01 00:14:00 PDT,+48785.4351568,+15,+407.083+230.433j
2013-07-01 00:15:00 PDT,+48785.4351568,+15,+407.101+230.447j
2013-07-01 00:16:00 PDT,+48784.9163745,+15,+407.1+230.447j
2013-07-01 00:17:00 PDT,+48784.9163745,+15,+407.107+230.45j
2013-07-01 00:18:00 PDT,+48784.9163745,+15,+407.11+230.452j
2013-07-01 00:19:00 PDT,+48784.9163745,+15,+407.11+230.452j
2013-07-01 00:20:00 PDT,+48784.9163745,+15,+407.147+230.458j
2013-07-01 00:21:00 PDT,+48784.3740466,+15,+407.141+230.471j
2013-07-01 00:22:00 PDT,+48784.3740466,+15,+407.091+230.425j
2013-07-01 00:23:00 PDT,+48784.3740466,+15,+407.085+230.438j
2013-07-01 00:24:00 PDT,+48784.3740466,+14.9999999834,+407.142+230.472j
2013-07-01 00:25:00 PDT,+48784.3740466,+15,+407.117+230.457j
2013-07-01 00:26:00 PDT,+48783.6846544,+15,+407.075+230.433j
2013-07-01 00:27:00 PDT,+48783.6846544,+15,+407.117+230.457j
2013-07-01 00:28:00 PDT,+48783.6846544,+15,+407.117+230.457j
2013-07-01 00:29:00 PDT,+48783.6846544,+15,+407.058+230.422j
2013-07-01 00:30:00 PDT,+48783.6846544,+15,+407.141+230.471j
2013-07-01 00:31:00 PDT,+48782.5978183,+15,+407.099+230.447j
2013-07-01 00:32:00 PDT,+48782.5978183,+15.0000000061,+407.108+230.452j
2013-07-01 00:33:00 PDT,+48782.5978183,+15,+407.056+230.408j
2013-07-01 00:34:00 PDT,+48782.5978183,+15,+407.141+230.471j
2013-07-01 00:35:00 PDT,+48782.5978183,+15,+407.211+230.512j
2013-07-01 00:36:00 PDT,+48781.440524,+15,+407.21+230.512j
2013-07-01 00:37:00 PDT,+48781.440524,+15,+407.213+230.515j
2013-07-01 00:38:00 PDT,+48781.440524,+15,+407.213+230.515j
2013-07-01 00:39:00 PDT,+48781.4404452,+14.9998166325,+407.213+230.515j
2013-07-01 00:40:00 PDT,+48781.4404749,+14.9998759517,+407.094+230.428j
2013-07-01 00:41:00 PDT,+48780.2358161,+15,+407.155+230.465j
2013-07-01 00:42:00 PDT,+48780.2358161,+15,+407.091+230.444j
2013-07-01 00:43:00 PDT,+48780.2358161,+15,+407.15+230.479j
2013-07-01 00:44:00 PDT,+48780.2358161,+15,+407.15+230.479j
2013-07-01 00:45:00 PDT,+48780.2358161,+15,+407.151+230.467j
2013-07-01 00:46:00 PDT,+48778.9854299,+15,+407.185+230.502j
2013-07-01 00:47:00 PDT,+48778.9854299,+15,+407.185+230.502j
2013-07-01 00:48:00 PDT,+48778.9854299,+15,+407.154+230.484j
2013-07-01 00:49:00 PDT,+48778.985894,+15.0000215339,+407.19+230.508j
2013-07-01 00:50:00 PDT,+48778.9853523,+14.9998191919,+407.251+230.545j
2013-07-01 00:51:00 PDT,+48777.6917022,+15.0000000077,+407.211+230.521j
2013-07-01 00:52:00 PDT,+48777.6917042,+15.0000074875,+407.253+230.547j
2013-07-01 00:53:00 PDT,+48777.6917022,+15,+407.216+230.525j
2013-07-01 00:54:00 PDT,+48777.6917022,+15.0000000013,+407.258+230.55j
2013-07-01 00:55:00 PDT,+48777.6917022,+15,+407.235+230.538j
2013-07-01 00:56:00 PDT,+48776.3569377,+14.9999078893,+407.289+230.557j
2013-07-01 00:57:00 PDT,+48776.3569377,+14.9999080052,+407.237+230.526j
2013-07-01 00:58:00 PDT,+48776.3569772,+15.0000000111,+407.232+230.536j
2013-07-01 00:59:00 PDT,+48776.3569772,+15,+407.23+230.535j
2013-07-01 01:00:00 PDT,+48776.3569772,+15.0000000002,+407.323+230.591j
2013-07-01 01:01:00 PDT,+48774.9835238,+15,+407.326+230.593j
2013-07-01 01:02:00 PDT,+48774.9835238,+15,+407.329+230.595j
2013-07-01 01:03:00 PDT,+48774.9835238,+15,+407.334+230.585j
2013-07-01 01:04:00 PDT,+48774.9835238,+15,+407.273+230.562j
2013-07-01 01:05:00 PDT,+48774.9835238,+15,+407.334+230.598j
2013-07-01 01:06:00 PDT,+48773.0936303,+14.9999246893,+407.334+230.598j
2013-07-01 01:07:00 PDT,+48773.0932935,+15,+407.281+230.567j
2013-07-01 01:08:00 PDT,+48773.0932935,+15,+407.339+230.601j
2013-07-01 01:09:00 PDT,+48773.0932136,+14.9998182068,+407.339+230.601j
2013-07-01 01:10:00 PDT,+48773.0932935,+15,+407.19+230.498j
2013-07-01 01:11:00 PDT,+48771.0596867,+15.0000000091,+407.223+230.534j
2013-07-01 01:12:00 PDT,+48771.0596867,+15,+407.272+230.563j
2013-07-01 01:13:00 PDT,+48771.0596867,+15.0000000111,+407.215+230.53j
2013-07-01 01:14:00 PDT,+48771.0596867,+15,+407.279+230.55j
