t[s],Converged,Pload,P7 (csv),Unresp (opf),P7 (rpf),Resp (opf),GLD Pub,BID?,P7 Min,V7,LMP_P7,LMP_Q7,Pgen1,Pgen2,Pgen3,Pgen4,Pdisp,Deg,c2,c1
0,True,315.000,100.000,0.000,100.000,-0.000,0.000,False,0.000,0.984,14.065,0.000,212.76,68.87,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
15,True,343.066,100.000,0.000,128.066,-0.000,28.066,False,0.000,0.981,14.065,0.000,212.76,97.35,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
30,True,343.020,100.000,0.000,128.020,-0.000,28.020,False,0.000,0.981,14.065,0.000,212.76,97.31,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
45,True,343.020,100.000,0.000,128.020,-0.000,28.020,False,0.000,0.981,14.065,0.000,212.76,97.31,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
60,True,343.020,100.000,0.000,128.020,-0.000,28.020,False,0.000,0.981,14.065,0.000,212.76,97.31,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
75,True,343.020,100.000,0.000,128.020,-0.000,28.020,False,0.000,0.981,14.065,0.000,212.76,97.31,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
90,True,343.020,100.000,0.000,128.020,-0.000,28.020,False,0.000,0.981,14.065,0.000,212.76,97.31,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
105,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
120,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
135,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
150,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
165,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
180,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
195,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
210,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
225,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
240,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
255,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
270,True,342.880,100.000,0.000,127.880,-0.000,27.880,False,0.000,0.981,14.065,0.000,212.76,97.16,37.15,0.00,0.00,0.0000,999.00000000,0.00000000
285,True,341.668,99.563,0.000,127.443,-0.000,27.880,False,0.000,0.980,15.066,0.000,229.44,75.65,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
300,True,341.657,99.563,0.000,127.432,-0.000,27.869,False,0.000,0.980,15.066,0.000,229.44,75.64,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
315,True,355.131,99.563,0.000,140.906,-0.000,41.343,False,0.000,0.978,15.066,0.000,229.44,89.34,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
330,True,355.107,99.563,0.000,140.882,-0.000,41.319,False,0.000,0.978,15.066,0.000,229.44,89.32,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
345,True,355.107,99.563,0.000,140.882,-0.000,41.319,False,0.000,0.978,15.066,0.000,229.44,89.32,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
360,True,354.931,99.563,0.000,140.706,-0.000,41.143,False,0.000,0.978,15.066,0.000,229.44,89.14,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
375,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
390,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
405,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
420,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
435,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
450,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
465,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
480,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
495,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
510,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
525,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
540,True,354.837,99.563,0.000,140.612,-0.000,41.049,False,0.000,0.978,15.066,0.000,229.44,89.04,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
555,True,354.798,99.563,0.000,140.573,-0.000,41.010,False,0.000,0.978,15.066,0.000,229.44,89.00,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
570,True,354.589,99.563,0.000,140.364,-0.000,40.801,False,0.000,0.978,15.066,0.000,229.44,88.79,41.25,0.00,0.00,0.0000,999.00000000,0.00000000
585,True,354.636,99.042,0.000,139.725,-0.000,40.683,False,0.000,0.978,15.553,0.000,237.55,79.02,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
600,True,354.572,99.042,0.000,139.661,-0.000,40.619,False,0.000,0.978,15.553,0.000,237.55,78.95,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
615,True,353.318,99.042,0.000,138.407,-0.000,39.365,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
630,True,353.320,99.042,0.000,138.409,-0.000,39.367,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
645,True,353.320,99.042,0.000,138.409,-0.000,39.367,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
660,True,353.320,99.042,0.000,138.409,-0.000,39.367,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
675,True,353.320,99.042,0.000,138.409,-0.000,39.367,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
690,True,353.320,99.042,0.000,138.409,-0.000,39.367,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
705,True,353.320,99.042,0.000,138.409,-0.000,39.367,False,0.000,0.978,15.553,0.000,237.55,77.68,43.25,0.00,0.00,0.0000,999.00000000,0.00000000
