Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  00:05:00,30.5,1258.3924299926503,0.0,80.6,60.8,80.6,60.8,78.67455449698966,78.67455449698966,1.0,0.0,0.0,1260.0,78.67455449698966,0.0,0.000007509401301000446,48784.43478591596,0.0 
 07/01  00:10:00,30.400000000000003,0.0,0.0,80.6,60.8,80.6,60.8,79.18275057036414,79.18275057036414,0.0,0.0,0.0,0.0,79.18275057036414,0.0,0.0000074779355017037068,48783.91600182571,0.0 
 07/01  00:15:00,30.300000000000006,0.0,0.0,80.6,60.8,80.6,60.8,79.51157056991826,79.51157056991826,0.0,0.0,0.0,0.0,79.51157056991826,0.0,0.000007454674397381563,48783.37365195906,0.0 
 07/01  00:20:00,30.200000000000004,0.0,0.0,80.6,60.8,80.6,60.8,79.78886672202448,79.78886672202448,0.0,0.0,0.0,0.0,79.78886672202448,0.0,0.000007437782217134866,48782.68423968848,0.0 
 07/01  00:25:00,30.099999999999999,0.0,0.0,80.6,60.8,80.61950000000002,60.7805,79.93823921899325,79.93823921899325,0.0,0.0,0.0,0.0,79.93823921899325,0.0,0.000007426284282211937,48781.59739404958,0.0 
 07/01  00:30:00,30.0,0.0,0.0,80.6,60.8,80.4703179980759,60.92968200192411,80.04204917361679,80.04204917361679,0.0,0.0,0.0,0.0,80.04204917361679,0.0,0.000007419242716621394,48780.44009082814,0.0 
 07/01  00:35:00,29.9,0.0,0.0,80.6,60.8,80.48309237714864,60.91690762285137,80.11342542117885,80.11342542117885,0.0,0.0,0.0,0.0,80.11342542117885,0.0,0.00000741590062032653,48779.23537413145,0.0 
 07/01  00:40:00,29.799999999999998,0.0,0.0,80.6,60.8,80.48097491180778,60.919025088192217,80.16212786378186,80.16212786378186,0.0,0.0,0.0,0.0,80.16212786378186,0.0,0.00000741564240444059,48777.984979122295,0.0 
 07/01  00:45:00,29.699999999999997,0.0,0.0,80.6,60.8,80.48035195883246,60.91964804116754,80.1945425981368,80.1945425981368,0.0,0.0,0.0,0.0,80.1945425981368,0.0,0.0000074179641468332099,48776.691253899786,0.0 
 07/01  00:50:00,29.599999999999999,0.0,0.0,80.6,60.8,80.48296168320965,60.91703831679035,80.21513225470999,80.21513225470999,0.0,0.0,0.0,0.0,80.21513225470999,0.0,0.000007422451084529516,48775.35650902205,0.0 
 07/01  00:55:00,29.5,0.0,0.0,80.6,60.8,80.48233625631925,60.91766374368075,80.22671753380294,80.22671753380294,0.0,0.0,0.0,0.0,80.22671753380294,0.0,0.000007428760281777645,48773.98305790714,0.0 
 07/01  01:00:00,29.4,0.0,0.0,80.6,60.8,80.47896506258904,60.921034937410968,80.2315206369754,80.2315206369754,0.0,0.0,0.0,0.0,80.2315206369754,0.0,0.000007436607114219184,48772.09269758421,0.0 
 07/01  01:05:00,29.291666666666666,0.0,0.0,80.6,60.8,80.48157434891384,60.91842565108616,80.23118709953674,80.23118709953674,0.0,0.0,0.0,0.0,80.23118709953674,0.0,0.000007445754609813929,48770.05908809026,0.0 
 07/01  01:10:00,29.183333333333335,0.0,0.0,80.6,60.8,80.47972262829578,60.920277371704219,80.22681795833131,80.22681795833131,0.0,0.0,0.0,0.0,80.22681795833131,0.0,0.000007456004958450738,48767.98768067169,0.0 
 07/01  01:15:00,29.074999999999997,0.0,0.0,80.6,60.8,80.47974513403001,60.920254865969997,80.21924522651088,80.21924522651088,0.0,0.0,0.0,0.0,80.21924522651088,0.0,0.000007467192689174808,48765.91459989817,0.0 
 07/01  01:20:00,28.96666666666667,0.0,0.0,80.6,60.8,80.47881108083023,60.92118891916977,80.20912832033801,80.20912832033801,0.0,0.0,0.0,0.0,80.20912832033801,0.0,0.0000074791791448993588,48763.839626986526,0.0 
 07/01  01:25:00,28.858333333333336,0.0,0.0,80.6,60.8,80.47641380718349,60.92358619281653,80.1968605469038,80.1968605469038,0.0,0.0,0.0,0.0,80.1968605469038,0.0,0.000007491847977512594,48761.762600788155,0.0 
 07/01  01:30:00,28.75,0.0,0.0,80.6,60.8,80.48051426884334,60.91948573115666,80.18275612335717,80.18275612335717,0.0,0.0,0.0,0.0,80.18275612335717,0.0,0.000007505101453315974,48759.68336905458,0.0 
 07/01  01:35:00,28.641666666666667,0.0,0.0,80.6,60.8,80.4778609722288,60.922139027771198,80.16701719519002,80.16701719519002,0.0,0.0,0.0,0.0,80.16701719519002,0.0,0.00000751885740763982,48757.60182897971,0.0 
 07/01  01:40:00,28.533333333333336,0.0,0.0,80.6,60.8,80.48122180258557,60.91877819741444,80.149863387625,80.149863387625,0.0,0.0,0.0,0.0,80.149863387625,0.0,0.000007533046723626176,48755.51790767631,0.0 
 07/01  01:45:00,28.425000000000006,0.0,0.0,80.6,60.8,80.47849677561577,60.921503224384249,80.13140917014809,80.13140917014809,0.0,0.0,0.0,0.0,80.13140917014809,0.0,0.0000075476112372066268,48753.43158377159,0.0 
 07/01  01:50:00,28.316666666666668,0.0,0.0,80.6,60.8,80.48014470104346,60.91985529895655,80.11180363210676,80.11180363210676,0.0,0.0,0.0,0.0,80.11180363210676,0.0,0.000007562501990751146,48751.34283452716,0.0 
 07/01  01:55:00,28.208333333333337,0.0,0.0,80.6,60.8,80.47522506980829,60.92477493019173,80.09111941506711,80.09111941506711,0.0,0.0,0.0,0.0,80.09111941506711,0.0,0.000007565666522293723,48749.25172027247,0.0 
 07/01  02:00:00,28.1,0.0,0.0,80.6,60.8,80.48211994690453,60.91788005309547,80.0694672969615,80.0694672969615,0.0,0.0,0.0,0.0,80.0694672969615,0.0,0.000007540598072507796,48747.158248332635,0.0 
 07/01  02:05:00,28.0,0.0,0.0,80.6,60.8,80.4771598791493,60.92284012085069,80.04689870915942,80.04689870915942,0.0,0.0,0.0,0.0,80.04689870915942,0.0,0.000007504693867440522,48745.181700034525,0.0 
 07/01  02:10:00,27.9,0.0,0.0,80.6,60.8,80.47893500354566,60.92106499645434,80.02369184019315,80.02369184019315,0.0,0.0,0.0,0.0,80.02369184019315,0.0,0.0000074776901930893368,48743.20452007303,0.0 
 07/01  02:15:00,27.800000000000006,0.0,0.0,80.6,60.8,80.47723742904718,60.922762570952837,79.99982632566608,79.99982632566608,0.0,0.0,0.0,0.0,79.99982632566608,0.0,0.000007457919066937117,48741.2263185582,0.0 
 07/01  02:20:00,27.700000000000004,0.0,0.0,80.6,60.8,80.47802168264451,60.92197831735549,79.97533280394447,79.97533280394447,0.0,0.0,0.0,0.0,79.97533280394447,0.0,0.000007444069180221653,48739.24681123873,0.0 
 07/01  02:25:00,27.6,0.0,0.0,80.6,60.8,80.47837275618883,60.92162724381118,79.9502237645303,79.9502237645303,0.0,0.0,0.0,0.0,79.9502237645303,0.0,0.0000074350973001808488,48737.26610430053,0.0 
 07/01  02:30:00,27.5,0.0,0.0,80.6,60.8,80.47702397182559,60.922976028174428,79.92454258031796,79.92454258031796,0.0,0.0,0.0,0.0,79.92454258031796,0.0,0.000007430165136254941,48735.28413264666,0.0 
