Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  00:05:00,30.5,1258.415030476354,0.0,80.6,60.8,80.6,60.8,78.67244018754991,78.67244018754991,1.0,0.0,0.0,1260.0,78.67244018754991,0.0,0.000007509401302081733,48784.43515679031,0.0 
 07/01  00:10:00,30.400000000000003,0.0,0.0,80.6,60.8,80.6,60.8,79.1806189050678,79.1806189050678,0.0,0.0,0.0,0.0,79.1806189050678,0.0,0.000007477935502597988,48783.91637451404,0.0 
 07/01  00:15:00,30.300000000000006,0.0,0.0,80.6,60.8,80.6,60.8,79.50945786893841,79.50945786893841,0.0,0.0,0.0,0.0,79.50945786893841,0.0,0.000007454674398124381,48783.37404662101,0.0 
 07/01  00:20:00,30.200000000000004,0.0,0.0,80.6,60.8,80.6,60.8,79.7868039611521,79.7868039611521,0.0,0.0,0.0,0.0,79.7868039611521,0.0,0.000007437782217754122,48782.68465439959,0.0 
 07/01  00:25:00,30.099999999999999,0.0,0.0,80.6,60.8,80.61950000000002,60.7805,79.93620522938156,79.93620522938156,0.0,0.0,0.0,0.0,79.93620522938156,0.0,0.000007426284282729739,48781.59781833478,0.0 
 07/01  00:30:00,30.0,0.0,0.0,80.6,60.8,80.4703179980759,60.92968200192411,80.0400400679772,80.0400400679772,0.0,0.0,0.0,0.0,80.0400400679772,0.0,0.000007419242717055552,48780.440523994104,0.0 
 07/01  00:35:00,29.9,0.0,0.0,80.6,60.8,80.483092387872,60.916907612127989,80.11144201962103,80.11144201962103,0.0,0.0,0.0,0.0,80.11144201962103,0.0,0.000007415900620691405,48779.23581609316,0.0 
 07/01  00:40:00,29.799999999999998,0.0,0.0,80.6,60.8,80.48097491189296,60.91902508810705,80.16016895192959,80.16016895192959,0.0,0.0,0.0,0.0,80.16016895192959,0.0,0.000007415642404747945,48777.985429865286,0.0 
 07/01  00:45:00,29.699999999999997,0.0,0.0,80.6,60.8,80.4803519589209,60.919648041079117,80.1926095346819,80.1926095346819,0.0,0.0,0.0,0.0,80.1926095346819,0.0,0.000007417964147092688,48776.69170219468,0.0 
 07/01  00:50:00,29.599999999999999,0.0,0.0,80.6,60.8,80.48435385079607,60.91564614920392,80.21322032462909,80.21322032462909,0.0,0.0,0.0,0.0,80.21322032462909,0.0,0.000007422451084749027,48775.356977170515,0.0 
 07/01  00:55:00,29.5,0.0,0.0,80.6,60.8,80.48233549239864,60.91766450760136,80.2248278815932,80.2248278815932,0.0,0.0,0.0,0.0,80.2248278815932,0.0,0.000007428760281963782,48773.98352382099,0.0 
 07/01  01:00:00,29.4,0.0,0.0,80.6,60.8,80.47896532388528,60.92103467611471,80.22965260349584,80.22965260349584,0.0,0.0,0.0,0.0,80.22965260349584,0.0,0.00000743660711437741,48772.09329346495,0.0 
 07/01  01:05:00,29.291666666666666,0.0,0.0,80.6,60.8,80.48018357257846,60.91981642742154,80.22934013202854,80.22934013202854,0.0,0.0,0.0,0.0,80.22934013202854,0.0,0.0000074457546099487289,48770.05968673335,0.0 
 07/01  01:10:00,29.183333333333335,0.0,0.0,80.6,60.8,80.4797233405742,60.9202766594258,80.2249916705043,80.2249916705043,0.0,0.0,0.0,0.0,80.2249916705043,0.0,0.000007456004958565876,48767.98828207154,0.0 
 07/01  01:15:00,29.074999999999997,0.0,0.0,80.6,60.8,80.48113922294496,60.918860777055048,80.21743915572505,80.21743915572505,0.0,0.0,0.0,0.0,80.21743915572505,0.0,0.000007467192689273442,48765.91520399306,0.0 
 07/01  01:20:00,28.96666666666667,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.20734202563742,80.20734202563742,0.0,0.0,0.0,0.0,80.20734202563742,0.0,0.000007479179144984132,48763.840233692565,0.0 
 07/01  01:25:00,28.858333333333336,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.19509344136867,80.19509344136867,0.0,0.0,0.0,0.0,80.19509344136867,0.0,0.000007491847977585722,48761.76320998372,0.0 
 07/01  01:30:00,28.75,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.18100774283458,80.18100774283458,0.0,0.0,0.0,0.0,80.18100774283458,0.0,0.00000750510145337939,48759.68398061377,0.0 
 07/01  01:35:00,28.641666666666667,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.16528700287967,80.16528700287967,0.0,0.0,0.0,0.0,80.16528700287967,0.0,0.000007518857407694994,48757.602442750984,0.0 
 07/01  01:40:00,28.533333333333336,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.14815089083783,80.14815089083783,0.0,0.0,0.0,0.0,80.14815089083783,0.0,0.000007533046723674465,48755.51852351538,0.0 
 07/01  01:45:00,28.425000000000006,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.1297138548648,80.1297138548648,0.0,0.0,0.0,0.0,80.1297138548648,0.0,0.0000075476112372491309,48753.432201515876,0.0 
 07/01  01:50:00,28.316666666666668,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.11012503227956,80.11012503227956,0.0,0.0,0.0,0.0,80.11012503227956,0.0,0.000007562501990788785,48751.3434540273,0.0 
 07/01  01:55:00,28.208333333333337,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.08945705511816,80.08945705511816,0.0,0.0,0.0,0.0,80.08945705511816,0.0,0.000007565666522304715,48749.2523413659,0.0 
 07/01  02:00:00,28.1,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.06782074943593,80.06782074943593,0.0,0.0,0.0,0.0,80.06782074943593,0.0,0.000007540598072497851,48747.15887087385,0.0 
 07/01  02:05:00,28.0,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.0452675369888,80.0452675369888,0.0,0.0,0.0,0.0,80.0452675369888,0.0,0.000007504693867434263,48745.18232387244,0.0 
 07/01  02:10:00,27.9,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,80.02207564575198,80.02207564575198,0.0,0.0,0.0,0.0,80.02207564575198,0.0,0.0000074776901930860808,48743.20514506775,0.0 
 07/01  02:15:00,27.800000000000006,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.99822471081228,79.99822471081228,0.0,0.0,0.0,0.0,79.99822471081228,0.0,0.000007457919066936342,48741.22694456276,0.0 
 07/01  02:20:00,27.700000000000004,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.97374542039509,79.97374542039509,0.0,0.0,0.0,0.0,79.97374542039509,0.0,0.000007444069180222842,48739.24743812681,0.0 
 07/01  02:25:00,27.6,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.94865026112723,79.94865026112723,0.0,0.0,0.0,0.0,79.94865026112723,0.0,0.000007435097300183711,48737.266731940974,0.0 
 07/01  02:30:00,27.5,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.92298264044024,79.92298264044024,0.0,0.0,0.0,0.0,79.92298264044024,0.0,0.000007430165136259194,48735.28476093172,0.0 
 07/01  02:35:00,27.4,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.89647501130547,79.89647501130547,0.0,0.0,0.0,0.0,79.89647501130547,0.0,0.000007428593402683311,48733.293316566305,0.0 
 07/01  02:40:00,27.299999999999998,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.86973567733318,79.86973567733318,0.0,0.0,0.0,0.0,79.86973567733318,0.0,0.0000074298277658529679,48731.30563744544,0.0 
 07/01  02:45:00,27.199999999999997,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.84252089487097,79.84252089487097,0.0,0.0,0.0,0.0,79.84252089487097,0.0,0.000007433413178320831,48729.31891728584,0.0 
 07/01  02:50:00,27.1,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.81482709454902,79.81482709454902,0.0,0.0,0.0,0.0,79.81482709454902,0.0,0.000007438974243812952,48727.33086787944,0.0 
 07/01  02:55:00,27.0,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.78667408960823,79.78667408960823,0.0,0.0,0.0,0.0,79.78667408960823,0.0,0.000007446199994805142,48725.34161406015,0.0 
 07/01  03:00:00,26.9,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.75810234853808,79.75810234853808,0.0,0.0,0.0,0.0,79.75810234853808,0.0,0.000007454831950079049,48723.351001363284,0.0 
 07/01  03:05:00,26.791666666666666,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.72912149763858,79.72912149763858,0.0,0.0,0.0,0.0,79.72912149763858,0.0,0.000007464654646108198,49015.25165203525,0.0 
 07/01  03:10:00,26.683333333333335,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.69959410586776,79.69959410586776,0.0,0.0,0.0,0.0,79.69959410586776,0.0,0.000007475488059387831,49012.637567376616,0.0 
 07/01  03:15:00,26.574999999999997,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.66960182601369,79.66960182601369,0.0,0.0,0.0,0.0,79.66960182601369,0.0,0.000007487181492010525,49010.02079233622,0.0 
 07/01  03:20:00,26.46666666666667,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.63905226369892,79.63905226369892,0.0,0.0,0.0,0.0,79.63905226369892,0.0,0.000007499608602292027,49007.397811137416,0.0 
 07/01  03:25:00,26.358333333333336,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.60823197036425,79.60823197036425,0.0,0.0,0.0,0.0,79.60823197036425,0.0,0.000007512663340628135,49004.7756492365,0.0 
 07/01  03:30:00,26.25,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.5769513782696,79.5769513782696,0.0,0.0,0.0,0.0,79.5769513782696,0.0,0.0000075262566076157189,49002.14871565624,0.0 
 07/01  03:35:00,26.141666666666667,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.54545965655528,79.54545965655528,0.0,0.0,0.0,0.0,79.54545965655528,0.0,0.000007540313493234421,48999.52282124875,0.0 
 07/01  03:40:00,26.03333333333333,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.51356832614488,79.51356832614488,0.0,0.0,0.0,0.0,79.51356832614488,0.0,0.000007554770986949897,48996.892464884615,0.0 
 07/01  03:45:00,25.925000000000006,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.4813575826349,79.4813575826349,0.0,0.0,0.0,0.0,79.4813575826349,0.0,0.00000756957607196895,48994.2597651062,0.0 
 07/01  03:50:00,25.81666666666667,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.44886952504879,79.44886952504879,0.0,0.0,0.0,0.0,79.44886952504879,0.0,0.000007560233705437452,48991.62592728812,0.0 
 07/01  03:55:00,25.708333333333337,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.41612667682796,79.41612667682796,0.0,0.0,0.0,0.0,79.41612667682796,0.0,0.000007525600575170011,48988.99106095598,0.0 
 07/01  04:00:00,25.6,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.38314118086115,79.38314118086115,0.0,0.0,0.0,0.0,79.38314118086115,0.0,0.0000074933806391469638,48986.354964675564,0.0 
 07/01  04:05:00,25.5,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.34992701517195,79.34992701517195,0.0,0.0,0.0,0.0,79.34992701517195,0.0,0.000007469363850123844,48965.44610274982,0.0 
 07/01  04:10:00,25.400000000000003,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.31680154993066,79.31680154993066,0.0,0.0,0.0,0.0,79.31680154993066,0.0,0.000007452033391543615,48963.00025537172,0.0 
 07/01  04:15:00,25.300000000000006,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.28368157426442,79.28368157426442,0.0,0.0,0.0,0.0,79.28368157426442,0.0,0.000007440190980172903,48960.55508449772,0.0 
 07/01  04:20:00,25.200000000000004,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.25051350887921,79.25051350887921,0.0,0.0,0.0,0.0,79.25051350887921,0.0,0.000007432879399489343,48958.110012539364,0.0 
 07/01  04:25:00,25.099999999999999,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.21724566925409,79.21724566925409,0.0,0.0,0.0,0.0,79.21724566925409,0.0,0.00000742932683206388,48955.66506972987,0.0 
 07/01  04:30:00,25.0,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.18386974298507,79.18386974298507,0.0,0.0,0.0,0.0,79.18386974298507,0.0,0.000007428906050646483,48953.21997946423,0.0 
 07/01  04:35:00,24.9,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.15038651439224,79.15038651439224,0.0,0.0,0.0,0.0,79.15038651439224,0.0,0.0000074311039643895909,48950.77490504136,0.0 
 07/01  04:40:00,24.8,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.11678907831963,79.11678907831963,0.0,0.0,0.0,0.0,79.11678907831963,0.0,0.000007435498527692609,48948.329649356245,0.0 
 07/01  04:45:00,24.699999999999997,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.0830834682136,79.0830834682136,0.0,0.0,0.0,0.0,79.0830834682136,0.0,0.0000074417409802594799,48945.884407033576,0.0 
 07/01  04:50:00,24.599999999999999,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.0492677678215,79.0492677678215,0.0,0.0,0.0,0.0,79.0492677678215,0.0,0.000007449542012427525,48943.43900886404,0.0 
 07/01  04:55:00,24.499999999999998,0.0,0.0,80.6,60.8,80.47737018184111,60.92262981815889,79.01534821529634,79.01534821529634,0.0,0.0,0.0,0.0,79.01534821529634,0.0,0.000007458660865220716,48940.99365283199,0.0 
